Date,Cash Weight,H5A4 Weight,C5A0 Weight,G5O2 Weight,Daily Return,Equity Curve
2022-05-27,0.1,0.0,0.0,0.9,-0.00047012118679478075,1.280404404383459
2022-05-31,0.1,0.0,0.0,0.9,-0.0018814675446849006,1.27799536505254
2022-06-01,0.1,0.0,0.0,0.9,-0.003959358960930137,1.272935322651892
2022-06-02,0.1,0.0,0.0,0.9,0.0008521830615465076,1.2740200965723
2022-06-03,0.1,0.0,0.0,0.9,-0.0012297666596594147,1.2724533491337993
2022-06-06,0.1,0.0,0.0,0.9,-0.002747079254815321,1.2689578189356736
2022-06-07,0.1,0.0,0.0,0.9,0.0016152871621622378,1.2710075502099258
2022-06-08,0.1,0.0,0.0,0.9,-0.0016123932975024347,1.2689581861548924
2022-06-09,0.1,0.0,0.0,0.9,-0.0010451858108107893,1.267631889064211
2022-06-10,0.1,0.0,0.0,0.9,-0.005993023993235392,1.260034940738459
2022-06-13,0.1,0.0,0.0,0.9,-0.007661204511598185,1.250381555365702
2022-06-14,0.1,0.0,0.0,0.9,-0.004443013522215178,1.2448260932072837
2022-06-15,0.1,0.0,0.0,0.9,0.004270923209663513,1.2501426498607575
2022-06-16,0.1,0.0,0.0,0.9,0.003091455560326328,1.2540074103068706
2022-06-17,0.1,0.0,0.0,0.9,0.0012516046213094211,1.2555769317767669
2022-06-21,0.1,0.0,0.0,0.9,-0.0013460100416622268,1.253886912618516
2022-06-22,0.1,0.0,0.0,0.9,0.005199529260725333,1.2604065343103166
2022-06-23,0.1,0.0,0.0,0.9,0.002872034889905395,1.2640264658523206
2022-06-24,0.1,0.0,0.0,0.9,-0.0012405895451171546,1.2624583278340327
2022-06-27,0.1,0.0,0.0,0.9,-0.0024846039498832907,1.2593216188861331
2022-06-28,0.1,0.0,0.0,0.9,-0.0003833049403748623,1.2588389146880932
2022-06-29,0.1,0.0,0.0,0.9,0.003547081380485806,1.2633041187634144
2022-06-30,0.1,0.0,0.0,0.9,0.004870026525198967,1.2694564433311852
2022-07-01,0.1,0.0,0.0,0.9,0.003324187420852631,1.2736763544714271
2022-07-05,0.1,0.0,0.0,0.9,0.002365681842077505,1.2766894674958835
2022-07-06,0.1,0.0,0.0,0.9,-0.004247063758389314,1.2712672859277643
2022-07-07,0.1,0.0,0.0,0.9,-0.003318933726688422,1.2670480340568628
2022-07-08,0.1,0.0,0.0,0.9,-0.002950507614213205,1.2633095991848042
2022-07-11,0.1,0.0,0.0,0.9,0.0030557029177718186,1.2671698980130823
2022-07-12,0.1,0.0,0.0,0.9,0.0011420112086285128,1.26861702023985
2022-07-13,0.1,0.0,0.0,0.9,-0.00019009399091769464,1.2683758637675264
2022-07-14,0.1,0.0,0.0,0.9,-0.0013309390514418262,1.266687732798532
2022-07-15,0.1,0.0,0.0,0.9,0.0006664550936209546,1.2675319232900826
2022-07-18,0.1,0.0,0.0,0.9,-0.00066596194503169,1.2666877952650586
2022-07-19,0.1,0.0,0.0,0.9,-0.002380196762932452,1.2636728290751227
2022-07-20,0.1,0.0,0.0,0.9,-0.0007636826474331837,1.2627077840635252
2022-07-21,0.1,0.0,0.0,0.9,0.005350318471337579,1.269463672844502
2022-07-22,0.1,0.0,0.0,0.9,0.004463908822287888,1.2751304429332866
2022-07-25,0.1,0.0,0.0,0.9,-0.001039588365011024,1.2738048321609416
2022-07-26,0.1,0.0,0.0,0.9,0.0004730866274179402,1.2744074521929771
2022-07-27,0.1,0.0,0.0,0.9,0.0025533256278238436,1.2776614294009512
2022-07-28,0.1,0.0,0.0,0.9,0.0028290025146688216,1.2812759367976219
2022-07-29,0.1,0.0,0.0,0.9,0.00047002297890126333,1.2818781659302299
2022-08-01,0.1,0.0,0.0,0.9,0.001315377388036243,1.283564319483912
2022-08-02,0.1,0.0,0.0,0.9,-0.006004378192432036,1.2758573138754188
2022-08-03,0.1,0.0,0.0,0.9,-0.0003777941022143572,1.2753753025069696
2022-08-04,0.1,0.0,0.0,0.9,0.0030236220472439346,1.27923155539014
2022-08-05,0.1,0.0,0.0,0.9,-0.006497854975410666,1.270919294263246
2022-08-08,0.1,0.0,0.0,0.9,0.002086846543001775,1.2735715077989134
2022-08-09,0.1,0.0,0.0,0.9,-0.0019873817034699592,1.2710404350862532
2022-08-10,0.1,0.0,0.0,0.9,0.0018020866266202917,1.2733309600562157
2022-08-11,0.1,0.0,0.0,0.9,-0.0021771140092554098,1.2705587733846586
2022-08-12,0.1,0.0,0.0,0.9,0.00037954665260946373,1.2710410097140403
2022-08-15,0.1,0.0,0.0,0.9,0.0020866266202971273,1.2736931977203991
2022-08-16,0.1,0.0,0.0,0.9,-0.0015140363789295952,1.2717647798834553
2022-08-17,0.1,0.0,0.0,0.9,-0.002559241706161064,1.2685100264183509
2022-08-18,0.1,0.0,0.0,0.9,0.0008555133079847232,1.2695952536272637
2022-08-19,0.1,0.0,0.0,0.9,-0.0025641025641025216,1.2663398811820656
2022-08-22,0.1,0.0,0.0,0.9,-0.002095238095238061,1.2636865976214937
2022-08-23,0.1,0.0,0.0,0.9,9.546033092919793e-05,1.2638072295622933
2022-08-24,0.1,0.0,0.0,0.9,-0.0017181037225581064,1.2616358776565866
2022-08-25,0.1,0.0,0.0,0.9,0.0017213898629264257,1.263807644867089
2022-08-26,0.1,0.0,0.0,0.9,-0.0008590518612791032,1.262721968557467
2022-08-29,0.1,0.0,0.0,0.9,-0.0021019108280254774,1.2600678395789706
2022-08-30,0.1,0.0,0.0,0.9,-0.0004788252819748928,1.2594644872403769
2022-08-31,0.1,0.0,0.0,0.9,-0.00019163206643254548,1.2592231334580886
2022-09-01,0.1,0.0,0.0,0.9,-0.003833457565754317,1.2543959550101607
2022-09-02,0.1,0.0,0.0,0.9,0.003657362848893109,1.2589837361738168
2022-09-06,0.1,0.0,0.0,0.9,-0.004792842688252197,1.2529496251792676
2022-09-07,0.1,0.0,0.0,0.9,0.002601991647928026,1.2562097896392586
2022-09-08,0.1,0.0,0.0,0.9,-0.0012491992312619771,1.2546405333357373
2022-09-09,0.1,0.0,0.0,0.9,-0.0015396129584090202,1.2527088725124684
2022-09-12,0.1,0.0,0.0,0.9,-0.00048195351826080257,1.2521051250640045
2022-09-13,0.1,0.0,0.0,0.9,-0.004147021003000329,1.2469126188123998
2022-09-14,0.1,0.0,0.0,0.9,-9.688879319627031e-05,1.246791806953542
2022-09-15,0.1,0.0,0.0,0.9,-0.0025193798449612004,1.2436506648042405
2022-09-16,0.1,0.0,0.0,0.9,0.001263226085078739,1.2452216767647466
2022-09-19,0.1,0.0,0.0,0.9,-0.0019407008086253508,1.2428050740497314
2022-09-20,0.1,0.0,0.0,0.9,-0.002042139384116637,1.2402670928612345
2022-09-21,0.1,0.0,0.0,0.9,0.0002923976608187884,1.2406297440579779
2022-09-22,0.1,0.0,0.0,0.9,-0.00565118544982135,1.2336187152997418
2022-09-23,0.1,0.0,0.0,0.9,-0.0010785488615317918,1.232288197238791
2022-09-26,0.1,0.0,0.0,0.9,-0.006184554973822043,1.2246670431393756
2022-09-27,0.1,0.0,0.0,0.9,-0.0017792421746292142,1.2224880638863436
2022-09-28,0.1,0.0,0.0,0.9,0.00931000330141958,1.2338694317970713
2022-09-29,0.1,0.0,0.0,0.9,-0.002352684892713264,1.2309665258253017
2022-09-30,0.1,0.0,0.0,0.9,-0.0013759965054056078,1.229272720187495
2022-10-03,0.1,0.0,0.0,0.9,0.00462649021109045,1.2349599383942027
2022-10-04,0.1,0.0,0.0,0.9,0.001175190424374173,1.2364112514882892
2022-10-05,0.1,0.0,0.0,0.9,-0.0032275592262551614,1.2324206609461026
2022-10-06,0.1,0.0,0.0,0.9,-0.0028465481513795464,1.2289125161919645
2022-10-07,0.1,0.0,0.0,0.9,-0.0023632385120351154,1.2260083028057778
2022-10-10,0.1,0.0,0.0,0.9,0.0,1.2260083028057778
2022-10-11,0.1,0.0,0.0,0.9,-0.0007898200965335556,1.225039976809705
2022-10-12,0.1,0.0,0.0,0.9,0.0015810276679840696,1.2269767989074278
2022-10-13,0.1,0.0,0.0,0.9,-0.003649715037264223,1.2224986832340812
2022-10-14,0.1,0.0,0.0,0.9,-0.0016837240013206302,1.220440332859537
2022-10-17,0.1,0.0,0.0,0.9,0.0009922822491731376,1.2216513541380083
2022-10-18,0.1,0.0,0.0,0.9,0.001288546255506673,1.2232255084159176
