Price History: TLT-US,,,,,,,,,,
,,,,,,,,,,
.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/23/10,90.93,2909928,-0.47,91.07,90.91,91.32,91.03,102.82,-0.47,17.69
03/24/10,89.27,8049821,-1.83,89.84,89.06,90.25,89.29,100.95,-1.83,15.54
03/25/10,88.70,8268492,-0.64,89.13,88.37,89.24,88.53,100.30,-0.64,14.80
03/26/10,88.95,4111700,0.28,88.54,88.49,89.12,88.90,100.58,0.28,15.12
03/29/10,88.61,3245248,-0.38,88.78,88.31,88.85,88.82,100.20,-0.38,14.68
03/30/10,88.89,3254599,0.32,88.52,88.27,88.95,88.87,100.52,0.32,15.05
03/31/10,89.50,4263866,0.69,89.22,88.95,89.52,89.47,101.21,0.69,15.84
04/01/10,88.95,2912399,-0.61,88.77,88.43,89.03,88.99,100.96,-0.24,15.55
04/05/10,87.47,5652112,-1.66,87.98,87.41,88.14,87.45,99.28,-1.66,13.63
04/06/10,87.61,3584555,0.16,87.80,87.35,87.85,87.43,99.44,0.16,13.81
04/07/10,88.73,6389806,1.28,87.45,87.30,88.92,88.81,100.71,1.28,15.27
04/08/10,88.77,3797833,0.05,88.89,88.48,89.13,88.63,100.75,0.05,15.32
04/09/10,88.98,2311262,0.24,88.61,88.41,89.06,88.82,100.99,0.24,15.59
04/12/10,89.45,2939571,0.53,89.17,89.09,89.56,89.48,101.53,0.53,16.20
04/13/10,89.74,3090843,0.32,89.89,89.52,89.95,89.92,101.86,0.32,16.58
04/14/10,89.11,3570297,-0.70,89.76,89.11,89.87,89.18,101.14,-0.70,15.76
04/15/10,89.21,3697982,0.11,88.85,88.68,89.50,89.13,101.25,0.11,15.89
04/16/10,89.86,8305705,0.73,89.40,89.24,89.99,89.91,101.99,0.73,16.74
04/19/10,89.64,3211477,-0.24,89.87,89.52,90.03,89.55,101.74,-0.24,16.45
04/20/10,89.96,2284968,0.36,89.85,89.64,89.99,89.92,102.11,0.36,16.87
04/21/10,90.70,4162429,0.82,90.27,90.26,90.83,90.83,102.95,0.82,17.83
04/22/10,90.43,4606513,-0.30,90.90,90.33,91.09,90.47,102.64,-0.30,17.48
04/23/10,90.11,4775946,-0.35,90.21,89.87,90.37,90.06,102.28,-0.35,17.06
04/26/10,90.21,4753864,0.11,90.51,89.94,90.65,89.97,102.39,0.11,17.19
04/27/10,91.48,13199240,1.41,90.85,90.70,91.92,91.57,103.83,1.41,18.84
04/28/10,90.70,8379444,-0.85,91.13,90.48,91.35,90.50,102.95,-0.85,17.83
04/29/10,91.08,4067153,0.42,90.86,90.52,91.22,91.17,103.38,0.42,18.32
04/30/10,92.13,6924749,1.15,91.28,91.11,92.17,92.10,104.57,1.15,19.68
05/03/10,91.69,4211801,-0.48,91.42,91.28,92.02,91.54,104.43,-0.13,19.53
05/04/10,93.34,11059900,1.80,92.81,92.56,93.47,93.07,106.31,1.80,21.68
05/05/10,93.89,12219040,0.59,94.06,93.35,94.85,93.74,106.94,0.59,22.40
05/06/10,96.79,19579050,3.09,94.16,93.78,100.00,97.25,110.24,3.09,26.18
05/07/10,95.58,18740520,-1.25,95.88,95.27,98.09,95.40,108.86,-1.25,24.60
05/10/10,93.60,10240310,-2.07,93.16,93.09,93.94,93.59,106.61,-2.07,22.02
05/11/10,93.36,7729048,-0.26,93.98,92.99,94.02,93.41,106.33,-0.26,21.71
05/12/10,92.65,5530849,-0.76,93.14,92.61,93.26,92.71,105.53,-0.76,20.78
05/13/10,93.26,6849744,0.66,93.26,92.20,93.55,92.90,106.22,0.66,21.58
05/14/10,94.88,9796599,1.74,94.12,94.09,95.50,95.02,108.07,1.74,23.69
05/17/10,94.53,6302355,-0.37,94.72,94.47,95.71,94.66,107.67,-0.37,23.23
05/18/10,95.98,9904647,1.53,94.90,94.77,96.17,96.04,109.32,1.53,25.12
05/19/10,96.30,14121240,0.33,95.94,95.93,96.95,96.26,109.68,0.33,25.54
05/20/10,98.33,17667740,2.11,97.91,97.53,98.57,97.76,111.99,2.11,28.18
05/21/10,98.43,18671090,0.10,99.61,97.86,99.75,98.77,112.11,0.10,28.31
05/24/10,98.09,7721043,-0.35,98.74,97.90,98.87,98.09,111.72,-0.35,27.87
05/25/10,98.57,12953070,0.49,99.65,98.40,99.89,99.01,112.27,0.49,28.50
05/26/10,98.29,12644850,-0.28,98.22,97.40,98.40,98.05,111.95,-0.28,28.13
05/27/10,96.06,7653111,-2.27,96.83,95.88,96.99,96.11,109.41,-2.27,25.23
05/28/10,96.50,5805433,0.46,96.49,96.02,96.78,96.51,109.91,0.46,25.80
06/01/10,96.85,5536329,0.36,97.23,96.25,97.29,96.62,110.68,0.70,26.68
06/02/10,95.93,5656398,-0.95,96.99,95.82,97.19,95.95,109.63,-0.95,25.48
06/03/10,95.23,8499473,-0.73,95.21,95.10,95.91,95.20,108.83,-0.73,24.56
06/04/10,97.79,7479657,2.69,96.94,96.70,97.95,97.94,111.75,2.69,27.91
06/07/10,98.54,5288171,0.77,97.52,97.33,98.59,97.82,112.61,0.77,28.89
06/08/10,98.05,5510785,-0.50,97.93,97.76,98.51,98.32,112.05,-0.50,28.25
06/09/10,97.94,5598095,-0.11,97.60,97.21,98.12,97.90,111.93,-0.11,28.11
06/10/10,96.19,6075043,-1.79,97.20,96.09,97.29,96.05,109.93,-1.79,25.82
06/11/10,97.41,6266861,1.27,97.09,96.61,97.81,97.74,111.32,1.27,27.41
06/14/10,96.91,5310307,-0.51,96.32,96.22,97.04,96.75,110.75,-0.51,26.76
06/15/10,96.51,4920038,-0.41,97.11,96.05,97.25,96.30,110.29,-0.41,26.24
06/16/10,97.06,4011079,0.57,97.19,96.39,97.22,96.78,110.92,0.57,26.95
06/17/10,97.85,5650874,0.81,97.15,97.07,98.23,98.05,111.82,0.81,27.99
06/18/10,97.69,4171631,-0.16,97.89,97.57,98.11,97.65,111.64,-0.16,27.78
06/21/10,97.41,5740875,-0.29,96.46,96.41,97.55,97.38,111.32,-0.29,27.41
06/22/10,98.57,5661562,1.19,97.68,97.42,98.60,98.42,112.65,1.19,28.93
06/23/10,99.24,9137828,0.68,98.61,98.57,99.57,99.09,113.41,0.68,29.81
06/24/10,98.65,6184567,-0.59,99.35,98.35,99.59,98.59,112.74,-0.59,29.03
06/25/10,99.05,5148464,0.41,98.32,98.16,99.33,98.87,113.19,0.41,29.56
06/28/10,99.98,5437428,0.94,99.60,99.42,100.00,99.81,114.26,0.94,30.77
06/29/10,101.07,7340714,1.09,100.32,100.16,101.13,100.87,115.50,1.09,32.20
06/30/10,101.75,7205937,0.67,101.41,100.80,101.79,101.50,116.28,0.67,33.09
07/01/10,101.60,12893780,-0.15,101.57,101.38,102.66,101.93,116.46,0.16,33.30
07/02/10,100.79,6297545,-0.80,101.11,100.16,101.44,100.70,115.53,-0.80,32.24
07/06/10,101.62,6620321,0.82,100.83,100.74,101.75,101.61,116.49,0.82,33.32
07/07/10,100.43,5727793,-1.17,101.46,100.34,101.51,100.58,115.12,-1.17,31.76
07/08/10,99.79,6260593,-0.64,99.82,99.55,100.16,99.82,114.39,-0.64,30.92
07/09/10,99.22,4286009,-0.57,99.40,99.18,99.64,99.20,113.73,-0.57,30.18
07/12/10,99.18,4062097,-0.04,99.33,99.04,99.84,99.21,113.69,-0.04,30.12
07/13/10,98.33,5842456,-0.86,98.85,98.18,98.89,98.24,112.71,-0.86,29.01
07/14/10,99.32,5417267,1.01,98.72,98.39,99.49,99.36,113.85,1.01,30.31
07/15/10,100.31,6996382,1.00,99.74,99.70,100.59,100.42,114.98,1.00,31.61
07/16/10,100.80,7512361,0.49,100.31,100.27,101.13,100.71,115.55,0.49,32.25
07/19/10,100.18,4305778,-0.62,100.56,99.98,100.75,100.17,114.83,-0.62,31.43
07/20/10,100.33,5077056,0.15,100.67,100.18,100.90,100.62,115.01,0.15,31.63
07/21/10,102.03,7894192,1.69,100.45,100.41,102.28,101.67,116.96,1.69,33.86
07/22/10,100.85,5760084,-1.16,101.51,100.82,101.52,100.85,115.60,-1.16,32.31
07/23/10,99.78,6259014,-1.06,100.80,99.69,100.97,99.67,114.38,-1.06,30.91
07/26/10,99.61,4856312,-0.17,99.63,99.00,99.81,99.67,114.18,-0.17,30.69
07/27/10,98.65,5329302,-0.96,98.78,98.57,99.18,98.70,113.08,-0.96,29.43
07/28/10,98.97,5507139,0.32,98.49,98.27,99.19,98.91,113.45,0.32,29.85
07/29/10,98.94,6306476,-0.03,98.10,97.92,99.02,98.80,113.41,-0.03,29.81
07/30/10,100.48,7683171,1.56,100.20,99.85,100.61,100.54,115.18,1.56,31.83
08/02/10,98.75,5769206,-1.72,99.24,98.75,99.33,98.79,113.57,-1.40,29.98
08/03/10,99.32,4363423,0.58,99.20,98.93,99.66,99.17,114.22,0.58,30.73
08/04/10,98.56,3820360,-0.77,99.50,98.56,99.51,98.79,113.35,-0.77,29.73
08/05/10,99.02,3704154,0.47,99.34,98.84,99.49,98.91,113.88,0.47,30.34
08/06/10,100.10,6042386,1.09,99.79,99.49,100.21,99.93,115.12,1.09,31.76
08/09/10,99.73,2578456,-0.37,99.74,99.61,99.98,99.86,114.69,-0.37,31.27
08/10/10,99.94,11250990,0.21,100.06,99.47,101.01,99.53,114.94,0.21,31.55
08/11/10,101.28,6778331,1.34,100.31,100.31,101.39,101.22,116.48,1.34,33.31
08/12/10,101.03,7590006,-0.25,101.58,100.87,101.94,101.22,116.19,-0.25,32.99
08/13/10,102.29,7844008,1.25,101.62,101.48,102.45,102.27,117.64,1.25,34.64
08/16/10,104.85,7980454,2.50,104.21,104.07,104.89,104.85,120.58,2.50,38.01
08/17/10,104.25,6756766,-0.57,104.85,104.00,104.86,104.04,119.89,-0.57,37.22
08/18/10,104.53,7721936,0.27,105.00,104.49,105.65,104.66,120.21,0.27,37.59
08/19/10,106.16,13128470,1.56,104.79,104.64,106.61,105.99,122.09,1.56,39.74
08/20/10,106.04,7040203,-0.11,106.41,105.84,106.83,105.95,121.95,-0.11,39.58
08/23/10,106.06,6360209,0.02,105.65,105.25,106.19,105.89,121.97,0.02,39.61
08/24/10,107.76,9813383,1.60,107.04,106.67,108.13,107.68,123.93,1.60,41.84
08/25/10,107.41,13305260,-0.32,108.80,107.07,109.34,107.49,123.53,-0.32,41.38
08/26/10,108.42,7040673,0.94,107.56,107.29,108.49,108.29,124.69,0.94,42.71
08/27/10,105.35,13514370,-2.83,107.77,105.20,108.33,105.29,121.16,-2.83,38.67
08/30/10,107.37,5535935,1.91,106.21,105.82,107.40,107.05,123.48,1.91,41.33
08/31/10,108.56,8397291,1.11,108.22,107.62,108.65,108.30,124.85,1.11,42.90
09/01/10,106.00,12480910,-2.36,107.02,105.09,107.05,105.70,122.28,-2.06,39.95
09/02/10,104.88,8168089,-1.06,105.20,104.40,105.30,104.60,120.98,-1.06,38.47
09/03/10,103.58,9210650,-1.24,102.72,102.70,103.94,103.61,119.48,-1.24,36.76
09/07/10,105.70,6018384,2.05,105.09,104.81,105.78,105.07,121.93,2.05,39.56
09/08/10,104.86,6698350,-0.79,105.09,104.36,105.21,104.71,120.96,-0.79,38.45
09/09/10,102.79,8588826,-1.97,103.70,102.64,103.84,102.65,118.57,-1.97,35.71
09/10/10,102.32,6910446,-0.46,102.25,101.85,102.70,102.14,118.03,-0.46,35.09
09/13/10,102.83,7055086,0.49,101.80,101.77,103.05,102.63,118.61,0.49,35.76
09/14/10,103.81,5978667,0.96,103.03,102.97,103.82,103.68,119.75,0.96,37.06
09/15/10,102.27,7925069,-1.48,102.75,102.14,103.26,102.23,117.97,-1.48,35.03
09/16/10,101.26,17124900,-0.99,101.53,100.85,101.82,101.41,116.81,-0.99,33.69
09/17/10,101.67,9203852,0.40,101.83,101.32,102.16,101.62,117.28,0.40,34.23
09/20/10,102.26,5277734,0.58,102.15,101.69,102.45,102.35,117.96,0.58,35.01
09/21/10,103.68,12665920,1.39,102.67,102.26,104.02,103.76,119.60,1.39,36.89
09/22/10,104.61,8229358,0.90,104.55,103.85,105.07,104.52,120.67,0.90,38.12
09/23/10,104.91,7412180,0.29,105.41,104.24,105.46,104.69,121.02,0.29,38.52
09/24/10,103.50,8942492,-1.35,103.96,103.50,104.12,103.61,119.39,-1.35,36.65
09/27/10,105.30,7061568,1.74,104.53,104.48,105.45,105.26,121.47,1.74,39.03
09/28/10,106.02,8262812,0.68,105.38,105.34,106.32,106.20,122.30,0.68,39.98
09/29/10,105.58,5507043,-0.42,106.17,105.35,106.27,105.45,121.79,-0.42,39.40
09/30/10,105.51,10618390,-0.07,105.40,104.03,105.59,105.54,121.71,-0.07,39.30
10/01/10,104.61,9368358,-0.85,104.23,103.98,105.14,104.54,121.12,-0.48,38.63
10/04/10,104.88,4422639,0.26,104.62,104.41,104.93,104.78,121.44,0.26,38.99
10/05/10,104.25,8491718,-0.60,104.73,103.93,104.81,104.44,120.71,-0.60,38.16
10/06/10,105.56,6476072,1.26,104.90,104.86,106.10,105.64,122.22,1.26,39.89
10/07/10,104.68,5780957,-0.83,105.17,104.67,105.38,104.80,121.21,-0.83,38.73
10/08/10,104.22,6128648,-0.44,104.87,104.22,105.46,104.22,120.67,-0.44,38.12
10/11/10,104.24,1474151,0.02,104.11,103.94,104.43,104.25,120.70,0.02,38.14
10/12/10,103.21,6122694,-0.99,104.41,103.18,104.76,103.45,119.50,-0.99,36.78
10/13/10,103.05,8168337,-0.16,102.35,102.04,103.12,102.88,119.32,-0.16,36.57
10/14/10,101.51,10947070,-1.50,103.29,101.47,103.65,101.72,117.53,-1.50,34.52
10/15/10,100.27,12694730,-1.22,100.60,99.90,101.05,100.09,116.10,-1.22,32.88
10/18/10,101.08,5592388,0.81,101.20,100.78,101.45,101.35,117.04,0.81,33.96
10/19/10,101.69,8017617,0.60,100.58,100.55,102.09,101.71,117.74,0.60,34.76
10/20/10,101.91,5515783,0.22,101.37,101.21,102.28,101.96,118.00,0.22,35.06
10/21/10,100.70,6836182,-1.19,101.69,100.69,101.91,101.09,116.60,-1.19,33.45
10/22/10,101.38,4770791,0.68,100.44,100.41,101.47,101.18,117.38,0.68,34.35
10/25/10,101.67,5632251,0.29,102.12,101.55,102.29,101.70,117.72,0.29,34.74
10/26/10,100.10,8434427,-1.54,100.86,100.05,101.06,100.27,115.90,-1.54,32.66
10/27/10,99.22,9245390,-0.88,99.68,99.22,100.17,99.49,114.88,-0.88,31.49
10/28/10,99.49,8052596,0.27,99.58,99.16,99.83,99.28,115.20,0.27,31.85
10/29/10,100.42,6753774,0.93,99.82,99.62,100.46,100.23,116.27,0.93,33.08
11/01/10,99.67,5921583,-0.75,100.80,99.49,100.81,99.64,115.77,-0.43,32.51
11/02/10,100.98,6537348,1.31,100.46,100.42,101.09,101.02,117.30,1.31,34.25
11/03/10,98.92,25543440,-2.04,101.73,98.43,102.27,98.94,114.90,-2.04,31.51
11/04/10,99.69,13247460,0.78,99.17,99.08,99.87,99.46,115.80,0.78,32.54
11/05/10,97.98,12435000,-1.72,98.35,97.98,98.80,98.21,113.81,-1.72,30.26
11/08/10,98.42,6795528,0.45,98.59,97.82,98.92,98.02,114.32,0.45,30.85
11/09/10,96.25,15064280,-2.20,98.49,96.19,98.52,96.26,111.80,-2.20,27.96
11/10/10,96.38,18540490,0.14,96.35,95.00,96.74,96.43,111.95,0.14,28.14
11/11/10,96.33,3370330,-0.05,96.45,96.14,96.63,96.44,111.90,-0.05,28.07
11/12/10,95.81,11739580,-0.54,96.21,95.81,96.74,95.99,111.29,-0.54,27.38
11/15/10,93.81,14978630,-2.09,95.33,93.81,95.72,94.33,108.97,-2.09,24.72
11/16/10,96.14,19913470,2.48,94.91,93.99,96.25,96.15,111.67,2.48,27.82
11/17/10,95.61,9915562,-0.55,95.80,95.34,96.76,95.83,111.06,-0.55,27.11
11/18/10,96.00,12425310,0.41,95.68,94.80,96.00,95.73,111.51,0.41,27.63
11/19/10,96.59,8359478,0.61,96.09,95.79,96.59,96.27,112.20,0.61,28.42
11/22/10,97.00,10414370,0.42,97.37,96.24,97.62,97.03,112.67,0.42,28.96
11/23/10,97.48,9566845,0.49,97.67,97.24,97.95,97.65,113.23,0.49,29.60
11/24/10,95.74,11467560,-1.78,96.81,95.58,96.99,95.62,111.21,-1.78,27.29
11/26/10,97.02,4848875,1.33,96.72,96.55,97.12,97.01,112.69,1.33,28.98
11/29/10,97.90,8950043,0.91,97.56,97.09,97.95,97.91,113.72,0.91,30.16
11/30/10,98.41,11947580,0.52,99.21,98.11,99.27,98.65,114.31,0.52,30.84
12/01/10,95.89,15445890,-2.56,96.65,95.89,97.11,96.14,111.78,-2.21,27.94
12/02/10,95.64,9319200,-0.26,95.96,95.53,96.54,95.75,111.49,-0.26,27.60
12/03/10,94.89,10195110,-0.78,96.28,94.85,96.33,95.01,110.61,-0.78,26.60
12/06/10,96.23,7004488,1.41,95.52,95.31,96.25,96.07,112.18,1.41,28.39
12/07/10,94.17,18536790,-2.14,94.72,93.16,94.92,93.38,109.77,-2.14,25.64
12/08/10,93.26,19276640,-0.97,93.72,92.11,93.80,93.03,108.71,-0.97,24.43
12/09/10,93.72,17477340,0.49,93.60,92.73,94.27,93.71,109.25,0.49,25.04
12/10/10,93.15,7079466,-0.61,93.29,93.14,93.86,93.32,108.58,-0.61,24.28
12/13/10,93.50,12400420,0.38,93.05,92.56,94.03,93.67,108.99,0.38,24.75
12/14/10,92.14,23519380,-1.46,92.40,91.44,93.02,91.42,107.40,-1.46,22.93
12/15/10,90.94,26088720,-1.30,92.08,90.47,92.24,90.76,106.01,-1.30,21.33
12/16/10,91.57,17939180,0.69,91.03,90.57,91.58,91.06,106.74,0.69,22.17
12/17/10,93.24,16850640,1.82,91.88,91.86,93.77,93.60,108.69,1.82,24.40
12/20/10,93.14,13703970,-0.11,93.75,92.64,94.23,92.92,108.57,-0.11,24.27
12/21/10,93.79,8985008,0.70,93.13,92.49,93.79,93.38,109.33,0.70,25.14
12/22/10,93.12,6440844,-0.71,93.47,92.93,93.55,93.09,108.55,-0.71,24.24
12/23/10,92.93,7091738,-0.20,93.18,92.53,93.23,92.66,108.33,-0.20,23.99
12/27/10,93.76,5286378,0.89,92.76,92.30,93.88,93.53,109.30,0.89,25.10
12/28/10,91.61,13976190,-2.29,92.93,91.31,93.07,91.32,107.16,-1.95,22.65
12/29/10,93.16,13115970,1.69,91.76,91.47,93.52,93.39,108.98,1.69,24.73
12/30/10,93.09,7030273,-0.08,92.88,92.41,93.28,93.05,108.89,-0.08,24.64
12/31/10,94.12,8515951,1.11,93.51,93.44,94.70,94.36,110.10,1.11,26.01
01/03/11,93.41,13799680,-0.75,93.20,92.95,94.31,93.61,109.27,-0.75,25.06
01/04/11,93.52,10467660,0.12,93.41,92.91,93.77,92.99,109.40,0.12,25.21
01/05/11,91.46,17569200,-2.20,92.49,91.19,92.69,91.36,106.99,-2.20,22.45
01/06/11,91.86,9317430,0.44,91.54,91.16,92.12,91.61,107.46,0.44,22.99
01/07/11,92.35,12694670,0.53,91.51,91.03,92.63,92.29,108.03,0.53,23.64
01/10/11,92.85,8295357,0.54,92.58,92.18,92.99,92.37,108.61,0.54,24.31
01/11/11,92.33,9495365,-0.56,92.49,91.69,92.60,92.43,108.01,-0.56,23.62
01/12/11,91.61,9524134,-0.78,91.74,91.45,92.17,91.94,107.16,-0.78,22.65
01/13/11,92.43,14502340,0.90,91.62,91.45,92.77,92.32,108.12,0.90,23.75
01/14/11,91.84,8960673,-0.64,92.78,91.76,92.90,91.79,107.43,-0.64,22.96
01/18/11,91.41,10663680,-0.46,91.29,90.73,91.71,91.37,106.93,-0.46,22.39
01/19/11,92.07,8888029,0.72,91.41,91.36,92.07,91.93,107.70,0.72,23.27
01/20/11,90.80,14203350,-1.38,91.50,90.39,91.62,90.55,106.22,-1.38,21.57
01/21/11,91.52,9085822,0.79,90.69,90.51,91.52,91.25,107.06,0.79,22.53
01/24/11,91.56,7700336,0.04,91.87,91.38,91.90,91.53,107.10,0.04,22.59
01/25/11,92.43,13442370,0.95,91.94,91.32,92.90,92.83,108.12,0.95,23.75
01/26/11,91.03,13324350,-1.51,92.22,90.89,92.26,90.97,106.48,-1.51,21.88
01/27/11,91.44,10869310,0.45,91.07,90.67,91.65,91.55,106.96,0.45,22.43
01/28/11,91.92,11993170,0.52,90.81,90.77,92.28,92.08,107.53,0.52,23.07
01/31/11,91.22,8649186,-0.76,91.66,91.05,91.98,91.44,106.71,-0.76,22.13
02/01/11,90.45,11508320,-0.84,90.55,90.14,90.84,90.55,106.18,-0.49,21.53
02/02/11,90.47,13624780,0.02,90.90,89.90,91.00,90.16,106.20,0.02,21.56
02/03/11,89.72,12793460,-0.83,89.96,89.71,90.57,89.86,105.32,-0.83,20.55
02/04/11,88.81,17172140,-1.01,89.50,88.77,89.65,88.82,104.26,-1.01,19.33
02/07/11,89.27,8554880,0.52,88.70,88.57,89.30,89.19,104.80,0.52,19.94
02/08/11,88.45,10461620,-0.92,89.31,88.36,89.54,88.46,103.83,-0.92,18.84
02/09/11,89.22,13081570,0.87,88.69,88.14,89.66,89.42,104.74,0.87,19.88
02/10/11,88.19,10492810,-1.15,88.90,88.18,89.14,88.36,103.53,-1.15,18.49
02/11/11,89.46,11333800,1.44,89.03,88.74,89.53,89.10,105.02,1.44,20.20
02/14/11,89.52,8034044,0.07,89.31,89.31,89.93,89.74,105.09,0.07,20.28
02/15/11,89.92,7300325,0.45,89.56,89.37,89.97,89.75,105.56,0.45,20.82
02/16/11,89.63,8446771,-0.32,89.87,89.34,90.32,89.66,105.22,-0.32,20.43
02/17/11,89.77,6740716,0.16,90.02,89.66,90.18,89.85,105.38,0.16,20.62
02/18/11,89.49,6082607,-0.31,89.42,89.08,89.55,89.35,105.05,-0.31,20.24
02/22/11,90.83,11912280,1.50,89.91,89.71,90.94,90.72,106.63,1.50,22.04
02/23/11,91.16,14522990,0.36,91.10,90.74,91.55,90.83,107.01,0.36,22.48
02/24/11,91.74,12111670,0.64,91.63,91.44,92.04,91.77,107.69,0.64,23.26
02/25/11,92.28,6841966,0.59,91.74,91.64,92.28,92.04,108.33,0.59,23.99
02/28/11,92.40,9683135,0.13,92.30,92.08,92.52,92.45,108.47,0.13,24.15
03/01/11,92.37,8049413,-0.03,91.52,91.47,92.40,92.17,108.78,0.29,24.51
03/02/11,90.95,8529267,-1.54,91.84,90.94,91.99,91.23,107.11,-1.54,22.59
03/03/11,90.06,10608010,-0.98,90.53,89.98,90.78,90.02,106.06,-0.98,21.39
03/04/11,90.81,9319657,0.83,90.10,90.00,90.85,90.58,106.95,0.83,22.41
03/07/11,90.23,7525397,-0.64,90.02,89.85,90.86,90.49,106.26,-0.64,21.62
03/08/11,89.68,8500342,-0.61,90.11,89.65,90.34,89.79,105.61,-0.61,20.88
03/09/11,90.55,8906639,0.97,90.09,89.85,90.82,90.65,106.64,0.97,22.05
03/10/11,92.08,13389860,1.68,90.87,90.64,92.10,91.58,108.44,1.68,24.11
03/11/11,91.55,8421153,-0.57,92.04,91.33,92.08,91.48,107.82,-0.57,23.40
03/14/11,91.51,6767868,-0.04,91.48,91.32,91.92,91.85,107.77,-0.04,23.35
03/15/11,92.88,14895980,1.50,92.80,92.36,93.05,92.64,109.38,1.50,25.20
03/16/11,93.93,24313030,1.13,93.37,93.08,94.94,93.84,110.62,1.13,26.61
03/17/11,93.21,10531040,-0.77,93.24,92.76,93.61,93.34,109.77,-0.77,25.64
03/18/11,93.46,7262989,0.27,92.75,92.69,93.48,93.24,110.07,0.27,25.98
03/21/11,92.91,10545520,-0.59,93.13,92.57,93.18,93.05,109.42,-0.59,25.24
03/22/11,93.22,6905503,0.33,92.81,92.74,93.29,93.10,109.78,0.33,25.65
03/23/11,93.10,8358941,-0.13,93.85,92.93,93.88,93.03,109.64,-0.13,25.49
03/24/11,92.40,9478934,-0.75,92.76,92.39,92.88,92.67,108.82,-0.75,24.55
03/25/11,92.17,6447169,-0.25,92.86,92.02,92.96,92.16,108.55,-0.25,24.24
03/28/11,92.30,3997481,0.14,92.12,92.00,92.67,92.38,108.70,0.14,24.41
03/29/11,91.59,6489272,-0.77,91.98,91.57,92.50,91.63,107.86,-0.77,23.46
03/30/11,92.32,5048451,0.80,91.72,91.56,92.32,91.98,108.72,0.80,24.44
03/31/11,92.13,9655061,-0.21,92.67,91.61,92.72,92.21,108.50,-0.21,24.18
04/01/11,92.19,7860305,0.07,91.50,91.42,92.27,92.16,109.03,0.48,24.79
04/04/11,92.29,4471203,0.11,92.20,92.13,92.58,92.19,109.14,0.11,24.92
04/05/11,91.92,9952765,-0.40,92.16,91.67,92.38,91.80,108.71,-0.40,24.42
04/06/11,90.54,9093586,-1.50,91.77,90.54,91.79,90.76,107.07,-1.50,22.55
04/07/11,90.36,9266180,-0.20,90.53,90.13,90.76,90.22,106.86,-0.20,22.31
04/08/11,89.88,7606271,-0.53,89.93,89.85,90.32,90.13,106.29,-0.53,21.66
04/11/11,89.96,5735731,0.09,89.83,89.65,90.22,90.11,106.39,0.09,21.77
04/12/11,90.93,7686439,1.08,90.61,90.56,91.24,90.97,107.54,1.08,23.08
04/13/11,91.50,7962543,0.63,90.54,90.44,91.50,91.38,108.21,0.63,23.85
04/14/11,91.43,7610371,-0.08,91.54,91.22,91.77,91.53,108.13,-0.08,23.76
04/15/11,92.67,10223050,1.36,92.26,92.07,92.71,92.57,109.59,1.36,25.44
04/18/11,92.88,12038390,0.23,91.99,91.45,93.10,92.80,109.84,0.23,25.72
04/19/11,93.28,5295431,0.43,92.86,92.76,93.28,93.22,110.31,0.43,26.26
04/20/11,92.68,6759430,-0.64,93.07,92.61,93.26,92.84,109.60,-0.64,25.45
04/21/11,92.60,3372139,-0.09,92.89,92.56,93.23,92.54,109.51,-0.09,25.34
04/25/11,92.95,3626878,0.38,92.63,92.50,92.98,92.79,109.92,0.38,25.81
04/26/11,93.85,7507239,0.97,93.27,93.18,93.87,93.72,110.99,0.97,27.03
04/27/11,92.89,8869597,-1.02,93.44,92.75,93.57,92.78,109.85,-1.02,25.73
04/28/11,93.60,8110154,0.76,93.22,92.97,93.60,93.35,110.69,0.76,26.69
04/29/11,93.89,5905380,0.31,93.47,93.35,93.92,93.62,111.04,0.31,27.09
05/02/11,93.64,5286363,-0.27,93.32,93.17,93.68,93.46,111.21,0.16,27.29
05/03/11,94.17,6486855,0.57,93.96,93.58,94.17,94.03,111.84,0.57,28.01
05/04/11,94.59,7419160,0.45,94.31,94.27,94.72,94.49,112.34,0.45,28.58
05/05/11,95.49,9588272,0.95,94.92,94.81,95.63,95.23,113.41,0.95,29.80
05/06/11,95.07,9460654,-0.44,94.51,94.35,95.49,95.00,112.91,-0.44,29.23
05/09/11,94.97,3735127,-0.11,94.90,94.84,95.20,94.93,112.79,-0.11,29.10
05/10/11,94.29,5458553,-0.72,94.70,94.29,94.89,94.41,111.99,-0.72,28.17
05/11/11,94.83,6079014,0.57,94.32,94.18,95.09,95.01,112.63,0.57,28.91
05/12/11,94.23,8017425,-0.63,94.95,93.91,95.11,94.20,111.91,-0.63,28.09
05/13/11,95.08,8382610,0.90,94.65,94.53,95.49,94.79,112.92,0.90,29.25
05/16/11,95.61,6053863,0.56,95.03,94.76,95.79,95.55,113.55,0.56,29.97
05/17/11,96.59,9828200,1.02,96.03,95.98,96.60,96.27,114.72,1.02,31.30
05/18/11,95.31,7707846,-1.33,96.27,95.28,96.39,95.41,113.20,-1.33,29.56
